Titolo,Autori,n,m_age,sd_age,m_education,sd_education,female_perc,m_RAVLT_t1,sd_RAVLT_t1,m_RAVLT_t2,sd_RAVLT_t2
Accelerated long-term forgetting in focal epilepsies with special consideration given to patients with diagnosed and suspected limbic encephalitis,Helmstaedter et al.,154,43,13,,,58,11.5,3,7.8,3.9
Memory compromise at extended delays in people with new-onset epilepsy,Pugh et al.,35,45.21,,,,48.6,8.49,2.95,5.03,2.72
Accelerated forgetting and verbal memory consolidation process in idiopathic nondement Parkinson's disease,Hanoğlu et al.,33,,,,,,11.42,2.42,7.3,3.19
Accelerated long-term forgetting in patients with acquired brain injury,Studer et al.,54,,,,,,12.13,2.47,9.35,3.35
Accelerated long-term forgetting in resected and seizure-free temporal lobe epilepsy patients,Visser et al.,18,,,9.22,2.9,,8.06,2.41,5.39,2.12
Accelerated long-term forgetting after amygdalohippocampectomy in temporal lobe epilepsy,Polat et al.,24,37.92,14,9.83,4.83,58.33,13.04,1.8,9.63,2.93
Accelerated long-term forgetting in transient epileptic amnesia: An acquisition or consolidation deficit?,Hoefeijzers et al.,18,68.28,8.81,12.67,3.24,61.11,9.33,2.95,6.83,3.54
Forgetting is comparable between healthy young and olde people,Studer et al.,236,,,,,,11.7,2.92,8.89,3.77
Improving Amnesia Diagnostic Accuracy with RAVLT Single Scores and Composite Indices: Italian Normative Data,Ricci et al.,440,,,,,,11.01,3.1,8.3,3.45
Validation and Normative Data of the Spanish Version of the Rey Auditory Verbal Learning Test and Associated Long-Term Forgetting Measures in Middle-Aged Adults,Alviarez-Schulze et al.,251,53.5,6.96,17.21,3.74,46.5,11.36,2.56,6.79,3.1
Ecological Validity of List-Learning Tests and Self-ReportedMemory in Healthy Individuals and Those with TemporalLobe Epilepsy,C. Helmstaedter et al.,21,29.4,,,,47.61,10.9,2.84,7.86,3.76
Subjective memory ability and long-term forgetting in patients referred for neuropsychological assessments,van der Werf et al.,41,52.6,10.1,5.4,1.7,48.78,10.6,2.4,5.9,2.1
